cell_id,lon,lat,LST_celsius,NDVI,albedo,builtup,esa_landcover,osm_road_density,osm_bldg_coverage,osm_green_coverage,humidity,wind_speed,air_temp_max,air_temp_min,pop_density,road_density,dist_to_water,wind_obstruction,bldg_height_idx,impervious_pct,heat_load_idx,neighborhood
72.9600_19.0600,72.96251484911372,19.062699486658307,30.300069740000026,-0.07822530716657639,0.06760585000000001,0,80,0.0,0.0,0.0,62.4,22.2,34.9,23.4,0.0,0.0,54.35850436723798,0.26,0.0,1.0,0.8134458681608081,Powai
72.9600_19.0650,72.96251484911372,19.067191063078905,28.739743610000005,-0.1,0.0691434,0,80,0.0,0.0,0.0,67.3,27.1,33.6,21.5,0.0,0.0,7758.929319587102,0.09666666666666657,0.0,1.0,0.756356788060483,Powai
72.9600_19.0700,72.96251484911372,19.07258095478362,29.459236820000058,-0.1,0.0673089,0,80,0.0,0.0,0.0,64.9,24.6,34.9,24.4,0.0,0.0,397.3715502098163,0.17999999999999994,0.0,1.0,0.8,Powai
72.9600_19.0750,72.96251484911372,19.07707253120422,28.890136490000003,-0.1,0.0685492,0,80,0.0,0.0,0.0,69.1,24.3,32.9,24.3,0.0,0.0,83.00036524523779,0.18999999999999995,0.0,1.0,0.8334453180819505,Powai
72.9600_19.0800,72.96251484911372,19.082462422908936,28.597895780000044,-0.1,0.06958420000000001,0,80,0.0,0.0,0.0,64.1,22.3,33.8,23.4,0.0,0.0,315.8506926943637,0.2566666666666666,0.0,1.0,0.8,Powai
72.9600_19.0850,72.96251484911372,19.087852314613652,28.67309222,-0.1,0.06541185000000001,0,80,0.0,0.0,0.0,69.3,21.9,31.1,25.5,0.0,0.0,59.60550991832672,0.27,0.0,1.0,0.8,Powai
72.9600_19.0900,72.96251484911372,19.09234389103425,29.512216130000013,-0.1,0.06750020000000001,0,80,0.0,0.0,0.0,66.2,24.8,35.9,24.2,0.0,0.0,745.904125177735,0.17333333333333334,0.0,1.0,0.8,Powai
72.9600_19.0950,72.96251484911372,19.097733782738967,29.602793660000003,-0.1,0.06325695,0,80,0.0,0.0,0.0,64.9,24.8,34.0,25.2,0.0,0.0,2432.2792864998846,0.17333333333333334,0.0,1.0,0.789075000019727,Powai
72.9600_19.1000,72.96251484911372,19.102225359159565,29.97706685000003,-0.03254105895757675,0.08157129999999999,0,80,0.0,0.0,0.0,60.9,23.9,33.4,25.9,0.0,0.0,626.1041306202505,0.20333333333333337,0.0,0.9581411496334548,0.7400543846692476,Powai
72.9600_19.1050,72.96251484911372,19.10761525086428,31.22635316000003,0.434907466173172,0.12083870000000001,0,80,0.0,0.0,0.0,62.4,23.7,35.5,25.0,0.0,0.0,880.9753614546033,0.21000000000000008,0.0,0.4592417594869742,0.1980065657301794,Powai
72.9600_19.1100,72.96251484911372,19.11210682728488,31.01101790000004,0.6398787498474121,0.13574875,0,95,0.0,0.0,0.0,62.8,24.7,32.3,24.2,0.0,0.0,1688.605778377651,0.17666666666666664,0.0,0.27541075708336005,0.11016430283334402,Powai
72.9600_19.1150,72.96251484911372,19.117496718989596,32.636286410000025,0.6689692139625549,0.11280965000000001,0,95,0.0,0.0,0.0,66.2,21.6,34.6,24.8,5492.8,0.0,1066.6431468274634,0.2799999999999999,0.0,0.2884745393140988,0.11538981572563951,Powai
72.9600_19.1200,72.96251484911372,19.122886610694316,31.67924081000001,0.661498486995697,0.11182195,0,95,0.0,0.0,0.0,65.6,24.2,33.9,25.2,9256.7,0.0,2964.739307307099,0.19333333333333336,0.0,0.3101108071265848,0.13306357554616347,Powai
72.9600_19.1250,72.96251484911372,19.127378187114914,32.087694200000016,0.5658568739891052,0.1100755,0,95,0.0,0.0,0.0,71.4,21.6,32.6,25.8,10629.9,0.0,3015.2726192428836,0.2799999999999999,0.0,0.38755564785351276,0.1751568605659464,Powai
72.9600_19.1300,72.96251484911372,19.13276807881963,31.089632359999996,0.6656418442726135,0.11814780000000001,0,95,0.0,0.0,0.0,68.7,23.8,32.2,25.1,0.0,0.0,14.940200020916325,0.20666666666666667,0.0,0.18112864122101857,0.07245145648840744,Powai
72.9600_19.1350,72.96251484911372,19.13725965524023,34.08039986,0.517770528793335,0.10708895,0,95,0.0,0.0,0.0,61.1,24.4,32.6,23.5,0.0,0.0,2257.9297599442034,0.18666666666666676,0.0,0.5288321040947822,0.2331631233639077,Powai
72.9650_18.8900,72.96790474081844,18.892917897959716,54.41249182999999,0.15845809876918793,0.08761885,0,40,0.0,0.0001,0.0,65.0,20.6,33.4,23.4,0.0,0.0,926.3183730200576,0.31333333333333324,0.0001,0.8695802523753311,0.4708951600362433,Chembur
72.9650_18.8950,72.96790474081844,18.897409474380314,50.63728874,0.1542646735906601,0.1054734,0,40,0.0,0.0005,0.0,66.2,25.7,31.5,26.6,930.4,0.0,6743.201740676678,0.1433333333333333,0.0005,0.8363812989701963,0.6034537475256031,Chembur
72.9650_18.9000,72.96790474081844,18.90279936608503,39.51334265000003,0.10778837651014328,0.10207925,0,95,0.0,0.0,0.0,64.2,23.7,33.6,23.3,1023.6,0.0,990.242092143563,0.21000000000000008,0.0,0.9569623821175202,0.5803249596043887,Chembur
72.9650_18.9050,72.96790474081844,18.90729094250563,44.10545252000003,0.14359906315803528,0.1480959,0,40,0.0,0.0,0.0,67.2,23.6,31.9,23.2,801.5,0.0,6502.250376480591,0.21333333333333326,0.0,0.7631039609677792,0.4842116803147307,Chembur
72.9650_18.9100,72.96790474081844,18.912680834210345,37.49500184000004,0.21128088235855103,0.08647090000000002,0,95,0.0,0.0,0.0,61.5,23.4,33.1,23.1,804.2,0.0,2107.111353054577,0.22000000000000008,0.0,0.8571591036727492,0.4700124838205192,Chembur
72.9650_18.9150,72.96790474081844,18.917172410630943,38.96304143000003,0.20821799337863922,0.1073305,0,60,0.0,0.0001,0.0,66.9,23.9,34.2,25.4,1370.2,0.0,428.73546981979695,0.20333333333333337,0.0001,0.7113221527838334,0.5141348665108801,Chembur
72.9650_18.9200,72.96790474081844,18.92256230233566,42.92110859000002,0.20065070688724518,0.13382535,1,60,0.0,0.026,0.0,63.7,25.3,30.6,24.3,5016.2,0.0,1159.568530629063,0.15666666666666662,0.026,0.7711385843773226,0.5046329793003109,Chembur
72.9650_18.9250,72.96790474081844,18.927053878756258,43.266328610000016,0.03289726376533508,0.14293285,0,50,0.0,0.0189,0.0,68.4,22.9,32.5,25.4,2355.8,0.0,7268.121078980791,0.2366666666666667,0.0189,0.8605310149779547,0.7442124059911819,Chembur
72.9650_18.9300,72.96790474081844,18.932443770460978,36.56359139,0.34585821628570557,0.09822945000000001,0,95,0.0,0.0001,0.0,65.0,22.4,30.8,23.9,1137.7,0.0,2922.942140378916,0.2533333333333334,0.0001,0.6254076534915128,0.3357187607306828,Chembur
72.9650_18.9350,72.96790474081844,18.937833662165694,34.11628907000002,0.36621275544166565,0.08971395000000001,0,95,0.0,0.0,0.0,63.3,23.2,33.3,24.0,696.5,0.0,153.65867031929562,0.22666666666666668,0.0,0.6261813844582538,0.2864319059951354,Chembur
72.9650_18.9400,72.96790474081844,18.942325238586292,35.09726081000002,0.36378616094589233,0.09344225,0,95,0.0,0.0,0.0,66.5,24.3,34.1,24.9,629.9,0.0,1838.1624121162338,0.18999999999999995,0.0,0.60044664749738,0.30038092172633624,Chembur
72.9650_18.9450,72.96790474081844,18.94771513029101,35.608254800000026,0.3537901043891907,0.08875805,0,95,0.0,0.0,0.0,61.2,22.1,35.1,22.8,914.8,0.0,636.0079484924573,0.2633333333333333,0.0,0.6552763528153163,0.3105006206090803,Chembur
72.9650_18.9500,72.96790474081844,18.952206706711607,31.83988775000003,0.24165382981300354,0.1150012,0,80,0.0,0.0,0.0,64.0,25.0,32.9,25.1,0.0,0.0,10.510127902086692,0.16666666666666663,0.0,0.7287965326613594,0.44915515499877046,Chembur
72.9650_18.9550,72.96790474081844,18.957596598416323,30.41457341000003,-0.039960261434316635,0.12021190000000001,0,80,0.0,0.0,0.0,64.6,25.0,32.5,23.0,0.0,0.0,774.9662003336734,0.16666666666666663,0.0,0.9777759550154411,0.7688872145916321,Chembur
72.9650_18.9600,72.96790474081844,18.96208817483692,41.15228324000003,0.27457231283187866,0.14258885,1,50,0.0,0.0986,0.0,62.2,22.8,34.0,22.1,1205.4,0.0,401.3377189765027,0.24,0.0986,0.6543103662780044,0.549442856013024,Chembur
72.9650_18.9650,72.96790474081844,18.967478066541638,32.36113580000003,0.21792462468147278,0.10312770000000002,0,80,0.0,0.0213,0.0,68.1,22.4,34.7,23.5,0.0,0.0,2562.8043691565667,0.2533333333333334,0.0213,0.791682753949312,0.47403775153331823,Chembur
72.9650_18.9700,72.96790474081844,18.972867958246354,28.905517580000037,-0.1,0.0802178,0,80,0.0,0.0,0.0,67.6,23.5,34.5,24.0,0.0,0.0,617.2186035636433,0.21666666666666667,0.0,1.0,0.8,Chembur
72.9650_18.9750,72.96790474081844,18.977359534666952,28.748288660000014,-0.1,0.1032314,0,80,0.0,0.0,0.0,64.5,19.4,31.9,25.8,0.0,0.0,2636.2431122984535,0.3533333333333334,0.0,1.0,0.8,Chembur
72.9650_18.9800,72.96790474081844,18.98274942637167,28.42699478000003,-0.1,0.11713055,0,80,0.0,0.0,0.0,67.7,24.8,31.6,25.7,0.0,0.0,0.8971765072693285,0.17333333333333334,0.0,1.0,0.8159570140276429,Chembur
72.9650_18.9850,72.96790474081844,18.987241002792267,29.02343927000001,-0.1,0.10043215,0,80,0.0,0.0,0.0,63.0,24.3,34.0,23.6,0.0,0.0,551.8620204239137,0.18999999999999995,0.0,1.0,0.8,Chembur
